propertyImmoCode,provinceCode,postalCode,salePrice,propertyType,propertySubtype,buildingCondition,propertySurface,landSurface,constructionYear,EPC,floors,facades,rooms,bedrooms,bathrooms,showerrooms,kitchenSurface,atticSurface,basementSurface,livingroomSurface,diningroomSurface,gardenSurface,terraceSurface,hasSwimmingpool
10161776,WLG,4100,119000,1,,6,,150,,705,,2,,5,1,0,14,,60,45,1,,,
10161775,WLG,4100,125000,1,,1,96,65,,382,,2,,3,1,1,12,1,,25,,,20,
10161774,WLG,4400,135000,1,,5,90,105,,318,,2,,2,1,0,11,,,13,,,,
10161773,WLG,4000,189500,1,,6,120,83,,389,,3,,4,1,1,12,1,24,24,1,,26,
10161772,WLG,4460,269000,1,,1,155,235,,198,,2,,3,3,3,8,,1,30,,40,15,1
10161771,WLG,4400,99500,1,,6,81,100,,537,,2,,2,1,0,20,,19,19,,,82,
10161770,WLG,4400,219500,1,,1,190,322,,693,,3,,3,1,1,13,1,15,21,1,85,38,
10161769,WLG,4460,189000,1,,2,90,161,,629,,4,,3,1,0,,1,16,36,,,106,
10161766,VAN,2140,1599000,1,7,4,464,179,,154,,3,,7,7,0,,,,,,,1,
10161761,VWV,8380,350000,1,,,,0,2017,82,,2,,3,1,1,,,,,,,,
10161760,VAN,2020,195000,2,,1,90,,1958,262,,2,,2,1,0,8,,7,32,,,,
10161759,VAN,2610,475000,1,,,200,359,1971,198,,3,,4,1,0,7,,,43,,175,,
10161758,VAN,2660,325000,1,,2,201,350,,247,,2,,3,1,0,14,,,30,1,210,10,
10161757,VAN,2610,225000,2,,5,88,,1967,182,4,2,,3,1,0,15,,1,30,,,3,
10161756,VAN,2660,175000,2,,5,76,,1991,106,,2,,2,1,0,,,,31,,,4,
10161755,VAN,2660,235000,2,,,72,,2013,126,7,,,2,1,0,,,,40,,,8,
10161754,VAN,2610,309000,2,16,2,130,,1965,396,2,2,,2,2,0,12,,1,40,,96,9,
10161753,VAN,2660,434000,1,,2,155,344,2003,130,,2,,3,1,0,26,,,43,,212,,
10161751,VAN,2660,389900,1,,5,160,98,,377,,,,6,2,0,11,,1,37,1,17,,
10161750,VWV,8340,399000,1,,,163,451,,184,,,,3,1,0,,,,,,,,
10161749,VWV,8340,399000,1,,,163,451,,184,,,,3,1,0,,,,,,,,
10161747,VWV,8301,565000,1,,1,167,177,1948,264,,2,,3,1,0,,,,1,,1,1,
10161746,VWV,8370,360000,2,,,87,,2022,,5,2,,2,1,0,,,,,,,15,
10161742,VOV,9890,339000,1,,1,208,758,1975,754,,4,,3,1,0,,,1,,,1,,
10161741,VOV,9810,695000,1,,1,419,1333,1996,254,,4,,4,2,0,,,,,,1,,
10161740,VOV,9810,495000,1,,,178,1169,1987,369,,4,,3,1,1,,,,,,1,,
10161735,VWV,8400,425000,2,,1,,,,,8,2,,2,1,0,5,,2,30,,,,
10161734,VAN,2275,435000,2,,1,162,,2006,216,,4,,4,1,0,,,,,,,,
10161732,VLI,3660,680000,1,,,245,12561,1900,456,,4,,3,1,0,16,,,31,,,,
10161730,VOV,9050,315000,1,,1,160,64,1900,302,,2,,2,1,0,,,1,1,,1,1,
10161729,VWV,8600,395000,1,,1,,4238,,276,,,,0,2,0,28,,9,27,,,,
10161722,VBR,3202,199000,1,,6,138,1870,1918,716,,4,,3,1,0,,,,,,,,
10161719,VWV,8520,375000,1,,1,160,439,,208,,3,,3,1,0,32,,16,,,,1,
10161718,VWV,8430,139500,1,,6,140,93,,794,,2,,2,,0,,,,,,,1,
10161717,WHT,6120,160000,2,,1,86,,,402,2,,,2,1,0,,,,,,,,
10161716,VLI,3560,469000,1,11,2,198,1465,1990,162,,4,,4,1,1,,,1,,,,65,
10161715,VWV,8020,255000,1,,,162,427,1954,414,,2,,3,1,0,,,,,,1,,
10161714,VBR,3001,325000,1,,,105,100,1938,289,,,,2,1,0,,,14,,,60,14,
10093039,VWV,8820,349000,1,,2,195,1065,1994,515,,,,4,,0,,,,,,1,,
10161710,VAN,2150,225000,2,,2,88,,1976,167,4,,,3,1,0,,,1,1,,,,
10161709,VAN,2950,304900,2,15,2,89,,2015,190,3,4,,2,1,0,,,,38,,1,18,
10161708,VOV,9000,189000,2,,6,52,,1976,253,,,,1,1,0,8,,1,25,,,28,
