ID,Type,SubType,Price,NetHabitableSurface(msq),BedroomCount,Province,Locality,Region,PostCode,Floor,RegionCode,BuildingCondition,ConstructionYear,FacadeCount,HasBalcony,HasGarden,KitchenType,Status
10153073,APARTMENT,APARTMENT,385000.0,140.0,3.0,Brussels,Uccle,Brussels,1180,2.0,BRUSSELS,,,2.0,0.0,0.0,1,0
10153074,HOUSE,HOUSE,520000.0,240.0,3.0,East Flanders,Dikkelvenne,Flanders,9890,2.0,FLANDERS,AS_NEW,1989.0,1.0,0.0,1.0,1,0
10153077,HOUSE,HOUSE,180000.0,114.0,3.0,Liège,Berloz,Wallonie,4257,2.0,WALLONIE,TO_BE_DONE_UP,,3.0,0.0,0.0,0,0
10153081,APARTMENT,APARTMENT,275000.0,76.0,2.0,Flemish Brabant,Sint-Pieters-Leeuw,Flanders,1602,1.0,FLANDERS,AS_NEW,,2.0,0.0,0.0,3,0
10153084,HOUSE,HOUSE,375000.0,180.0,3.0,Antwerp,Turnhout,Flanders,2300,2.0,FLANDERS,AS_NEW,,3.0,0.0,1.0,1,0
10153085,APARTMENT,DUPLEX,380000.0,90.0,2.0,Brussels,Brussels City,Brussels,1050,2.0,BRUSSELS,TO_RENOVATE,,2.0,0.0,0.0,0,0
10153086,APARTMENT,APARTMENT,144000.0,60.0,1.0,Antwerp,Berchem,Flanders,2600,7.0,FLANDERS,TO_BE_DONE_UP,1969.0,2.0,0.0,0.0,2,0
10153088,APARTMENT,APARTMENT,270496.0,86.0,2.0,Namur,Bouge,Wallonie,5004,2.0,WALLONIE,,,1.0,0.0,1.0,0,0
10153089,APARTMENT,GROUND_FLOOR,281496.0,95.0,2.0,Namur,Bouge,Wallonie,5004,2.0,WALLONIE,,,1.0,0.0,1.0,0,0
10153090,HOUSE,HOUSE,287000.0,143.0,3.0,Antwerp,Boom,Flanders,2850,2.0,FLANDERS,GOOD,,2.0,0.0,1.0,2,0
10153091,HOUSE,HOUSE,180000.0,185.0,4.0,Hainaut,Mouscron,Wallonie,7700,2.0,WALLONIE,TO_BE_DONE_UP,,2.0,0.0,0.0,2,0
10153093,APARTMENT,APARTMENT,279000.0,60.0,1.0,Flemish Brabant,Steenokkerzeel,Flanders,1820,1.0,FLANDERS,,2020.0,3.0,0.0,0.0,1,1
10153096,APARTMENT,PENTHOUSE,327000.0,109.0,2.0,West Flanders,Oostduinkerke,Flanders,8670,2.0,FLANDERS,AS_NEW,2022.0,1.0,0.0,0.0,0,1
10153098,HOUSE,HOUSE,445000.0,255.0,4.0,East Flanders,Lievegem,Flanders,9931,2.0,FLANDERS,JUST_RENOVATED,1949.0,3.0,0.0,0.0,1,0
10153101,HOUSE,HOUSE,219000.0,170.0,3.0,East Flanders,ETIKHOVE,Flanders,9680,2.0,FLANDERS,TO_RENOVATE,,1.0,0.0,0.0,0,0
10153102,HOUSE,VILLA,519000.0,191.0,4.0,Flemish Brabant,Wambeek (Ternat),Flanders,1741,2.0,FLANDERS,,1978.0,4.0,0.0,0.0,0,0
10153103,APARTMENT,APARTMENT,230000.0,89.0,2.0,Antwerp,Putte,Flanders,2580,2.0,FLANDERS,,1975.0,2.0,0.0,1.0,0,0
10153105,HOUSE,HOUSE,320000.0,205.0,2.0,Antwerp,Mechelen,Flanders,2800,2.0,FLANDERS,TO_BE_DONE_UP,1973.0,2.0,0.0,1.0,2,0
10153112,HOUSE,VILLA,735000.0,298.0,5.0,East Flanders,Denderleeuw,Flanders,9470,2.0,FLANDERS,GOOD,1995.0,4.0,0.0,1.0,1,0
10153114,APARTMENT,APARTMENT,595000.0,200.0,3.0,East Flanders,Ninove,Flanders,9400,2.0,FLANDERS,,2008.0,1.0,0.0,0.0,1,0
